person_id,true_best_party,n_train,n_items_asked_50,obs_top1,obs_top3,obs_mae_mean,pred_top1,pred_top3,pred_mae_mean,obs_mae_CDU,obs_mae_DIE LINKE,obs_mae_Die Grünen,obs_mae_FDP,obs_mae_SPD,obs_mae_bunt.saar,pred_mae_CDU,pred_mae_DIE LINKE,pred_mae_Die Grünen,pred_mae_FDP,pred_mae_SPD,pred_mae_bunt.saar
4914,FDP,300,19,0.0,1.0,5.283902323376009,1.0,1.0,4.504504504504502,2.560455192034155,3.733997155049792,8.908250355618776,6.899004267425312,4.694167852062591,4.907539118065429,3.378378378378372,4.391891891891895,5.067567567567558,2.0270270270270316,3.7162162162162176,8.445945945945937
2092,CDU,300,19,1.0,1.0,4.554883831199622,1.0,1.0,3.8851351351351355,3.6095305832147915,5.654338549075398,0.3022759601706895,10.152916073968711,4.783072546230443,2.8271692745377024,1.689189189189186,5.743243243243242,5.405405405405396,0.6756756756756843,5.067567567567572,4.729729729729733
3327,CDU,300,19,1.0,1.0,3.8555002370791827,1.0,1.0,1.1824324324324305,1.8492176386913286,3.5028449502133725,3.1294452347083777,3.8940256045519206,2.258179231863444,8.499288762446653,1.3513513513513544,0.3378378378378315,2.3648648648648702,0.675675675675663,0.3378378378378386,2.0270270270270245
525,Die Grünen,300,19,1.0,0.0,4.946064485538166,1.0,1.0,1.7454954954954924,1.5825035561877598,6.1877667140825,6.063300142247506,2.2403982930298625,6.632290184921764,6.970128022759603,1.689189189189186,1.3513513513513473,1.689189189189193,2.364864864864856,1.6891891891891788,1.689189189189193
1272,CDU,300,19,1.0,0.0,4.71194879089616,1.0,1.0,4.110360360360356,1.902560455192038,4.445234708392597,4.2496443812233196,12.339971550497864,2.560455192034155,2.773826458036986,1.0135135135135087,5.067567567567565,5.743243243243235,0.0,6.081081081081074,6.756756756756751
839,FDP,300,19,1.0,1.0,3.8110478899952596,1.0,1.0,2.0833333333333273,7.02347083926032,2.951635846372696,2.8271692745377024,5.52987197724039,2.7382645803698367,1.795874822190612,1.6891891891891788,0.6756756756756701,0.3378378378378315,3.0405405405405332,4.729729729729726,2.0270270270270245
1920,SPD,300,19,0.0,0.0,6.1492413466097675,0.0,0.0,6.813063063063065,2.8449502133712556,10.864153627311524,6.294452347083926,2.3648648648648702,8.60597439544808,5.921052631578952,4.054054054054056,6.756756756756751,8.445945945945951,3.7162162162162176,10.472972972972975,7.432432432432435
2440,bunt.saar,300,19,1.0,0.0,5.5832147937411065,1.0,1.0,1.182432432432434,3.94736842105263,6.436699857752494,5.494310099573255,5.138691322901842,8.78378378378379,3.698435277382629,2.3648648648648702,0.0,0.6756756756756914,2.7027027027027017,0.3378378378378386,1.0135135135135016
3090,Die Grünen,300,19,1.0,1.0,3.327999051683262,1.0,0.0,3.8288288288288244,4.818634423897571,4.67638691322901,1.795874822190612,0.9957325746799484,6.258890469416791,1.4224751066856385,4.054054054054049,1.0135135135135016,7.0945945945945965,0.6756756756756701,5.067567567567565,5.067567567567565
741,FDP,300,19,1.0,0.0,3.3250355618776646,1.0,0.0,1.632882882882883,5.618776671408241,5.174253200568991,0.37339971550497353,4.747510668563301,2.0625889046941666,1.973684210526315,0.6756756756756843,2.7027027027027017,1.0135135135135087,2.0270270270270316,2.0270270270270245,1.3513513513513473
